elapsed_s,stream,joint,deg
9.8256,maxon,pedal_left,0.000
9.8260,maxon,left_wrist,90.000
9.8267,maxon,pedal_right,0.000
9.8269,maxon,right_wrist,-90.000
9.8324,arm,left_shoulder_1,90.000
9.8324,arm,left_shoulder_2,0.000
9.8324,arm,left_elbow,-90.000
9.8324,arm,waist_joint,10.000
9.8324,arm,right_shoulder_1,90.000
9.8324,arm,right_shoulder_2,0.000
9.8324,arm,right_elbow,90.000
10.8306,maxon,left_wrist,89.932
10.8309,maxon,right_wrist,-89.932
10.8407,maxon,left_wrist,89.857
10.8408,maxon,right_wrist,-89.857
10.8506,maxon,left_wrist,89.782
10.8508,maxon,right_wrist,-89.782
10.8603,maxon,left_wrist,89.706
10.8606,maxon,right_wrist,-89.706
10.8703,maxon,left_wrist,89.631
10.8708,maxon,right_wrist,-89.631
10.8804,maxon,left_wrist,89.556
10.8806,maxon,right_wrist,-89.556
10.8903,maxon,left_wrist,89.480
10.8905,maxon,right_wrist,-89.480
10.9005,maxon,left_wrist,89.405
10.9007,maxon,right_wrist,-89.405
10.9104,maxon,left_wrist,89.330
10.9106,maxon,right_wrist,-89.330
10.9207,maxon,left_wrist,89.257
10.9209,maxon,right_wrist,-89.257
10.9304,maxon,left_wrist,89.181
10.9306,maxon,right_wrist,-89.181
10.9408,maxon,left_wrist,89.106
10.9410,maxon,right_wrist,-89.106
10.9466,neck,head,0.000
10.9466,neck,head_2,0.000
10.9505,maxon,left_wrist,89.031
10.9508,maxon,right_wrist,-89.031
10.9604,maxon,left_wrist,88.955
10.9607,maxon,right_wrist,-88.955
10.9702,maxon,left_wrist,88.880
10.9706,maxon,right_wrist,-88.880
10.9804,maxon,left_wrist,88.805
10.9806,maxon,right_wrist,-88.805
10.9905,maxon,left_wrist,88.729
10.9907,maxon,right_wrist,-88.729
11.0001,maxon,left_wrist,88.657
11.0005,maxon,right_wrist,-88.657
11.0100,maxon,left_wrist,88.581
11.0104,maxon,right_wrist,-88.581
11.0204,maxon,left_wrist,88.506
11.0206,maxon,right_wrist,-88.506
11.0304,maxon,left_wrist,88.431
11.0307,maxon,right_wrist,-88.431
11.0406,maxon,left_wrist,88.355
11.0408,maxon,right_wrist,-88.355
11.0500,maxon,left_wrist,88.280
11.0505,maxon,right_wrist,-88.280
11.0604,maxon,left_wrist,88.205
11.0606,maxon,right_wrist,-88.205
11.0704,maxon,left_wrist,88.129
11.0707,maxon,right_wrist,-88.129
11.0804,maxon,left_wrist,88.054
11.0806,maxon,right_wrist,-88.054
11.0904,maxon,left_wrist,87.981
11.0908,maxon,right_wrist,-87.981
11.0999,maxon,left_wrist,87.906
11.1005,maxon,right_wrist,-87.906
11.1104,maxon,left_wrist,87.830
11.1106,maxon,right_wrist,-87.830
11.1208,maxon,left_wrist,87.755
11.1211,maxon,right_wrist,-87.755
11.1307,maxon,left_wrist,87.680
11.1311,maxon,right_wrist,-87.680
11.1406,maxon,left_wrist,87.604
11.1409,maxon,right_wrist,-87.604
11.1504,maxon,left_wrist,87.529
11.1508,maxon,right_wrist,-87.529
11.1605,maxon,left_wrist,87.454
11.1607,maxon,right_wrist,-87.454
11.1704,maxon,left_wrist,87.378
11.1706,maxon,right_wrist,-87.378
11.1804,maxon,left_wrist,87.306
11.1806,maxon,right_wrist,-87.306
11.1904,maxon,left_wrist,87.230
11.1907,maxon,right_wrist,-87.230
11.2002,maxon,left_wrist,87.155
11.2005,maxon,right_wrist,-87.155
11.2105,maxon,left_wrist,87.080
11.2107,maxon,right_wrist,-87.080
11.2203,maxon,left_wrist,87.004
11.2205,maxon,right_wrist,-87.004
11.2303,maxon,left_wrist,86.929
11.2306,maxon,right_wrist,-86.929
11.2406,maxon,left_wrist,86.854
11.2408,maxon,right_wrist,-86.854
11.2502,maxon,left_wrist,86.778
11.2506,maxon,right_wrist,-86.778
11.2605,maxon,left_wrist,86.703
11.2607,maxon,right_wrist,-86.703
11.2703,maxon,left_wrist,86.630
11.2705,maxon,right_wrist,-86.630
11.2804,maxon,left_wrist,86.555
11.2806,maxon,right_wrist,-86.555
11.2903,maxon,left_wrist,86.479
11.2905,maxon,right_wrist,-86.479
11.3003,maxon,left_wrist,86.404
11.3005,maxon,right_wrist,-86.404
11.3105,maxon,left_wrist,86.329
11.3106,maxon,right_wrist,-86.329
11.3209,maxon,left_wrist,86.253
11.3211,maxon,right_wrist,-86.253
11.3301,maxon,left_wrist,86.178
11.3303,maxon,right_wrist,-86.178
11.3405,maxon,left_wrist,86.103
11.3406,maxon,right_wrist,-86.103
11.3504,maxon,left_wrist,86.027
11.3506,maxon,right_wrist,-86.027
11.3605,maxon,left_wrist,85.955
11.3607,maxon,right_wrist,-85.955
11.3703,maxon,left_wrist,85.879
11.3705,maxon,right_wrist,-85.879
11.3803,maxon,left_wrist,85.804
11.3805,maxon,right_wrist,-85.804
11.3903,maxon,left_wrist,85.729
11.3905,maxon,right_wrist,-85.729
11.4005,maxon,left_wrist,85.653
11.4007,maxon,right_wrist,-85.653
11.4106,maxon,left_wrist,85.578
11.4108,maxon,right_wrist,-85.578
11.4206,maxon,left_wrist,85.503
11.4208,maxon,right_wrist,-85.503
11.4305,maxon,left_wrist,85.427
11.4307,maxon,right_wrist,-85.427
11.4407,maxon,left_wrist,85.354
11.4410,maxon,right_wrist,-85.354
11.4504,maxon,left_wrist,85.279
11.4508,maxon,right_wrist,-85.279
11.4606,maxon,left_wrist,85.204
11.4609,maxon,right_wrist,-85.204
11.4705,maxon,left_wrist,85.128
11.4708,maxon,right_wrist,-85.128
11.4804,maxon,left_wrist,85.053
11.4807,maxon,right_wrist,-85.053
11.4906,maxon,left_wrist,84.978
11.4908,maxon,right_wrist,-84.978
11.5004,maxon,left_wrist,84.902
11.5006,maxon,right_wrist,-84.902
11.5100,maxon,left_wrist,84.827
11.5105,maxon,right_wrist,-84.827
11.5205,maxon,left_wrist,84.752
11.5208,maxon,right_wrist,-84.752
11.5304,maxon,left_wrist,84.679
11.5306,maxon,right_wrist,-84.679
11.5405,maxon,left_wrist,84.604
11.5407,maxon,right_wrist,-84.604
11.5505,maxon,left_wrist,84.528
11.5507,maxon,right_wrist,-84.528
11.5605,maxon,left_wrist,84.453
11.5606,maxon,right_wrist,-84.453
11.5700,maxon,left_wrist,84.378
11.5706,maxon,right_wrist,-84.378
11.5800,maxon,left_wrist,84.302
11.5805,maxon,right_wrist,-84.302
11.5904,maxon,left_wrist,84.227
11.5906,maxon,right_wrist,-84.227
11.6005,maxon,left_wrist,84.152
11.6007,maxon,right_wrist,-84.152
11.6105,maxon,left_wrist,84.076
11.6107,maxon,right_wrist,-84.076
11.6206,maxon,left_wrist,84.003
11.6208,maxon,right_wrist,-84.003
11.6303,maxon,left_wrist,83.928
11.6307,maxon,right_wrist,-83.928
11.6405,maxon,left_wrist,83.853
11.6408,maxon,right_wrist,-83.853
11.6504,maxon,left_wrist,83.777
11.6507,maxon,right_wrist,-83.777
11.6604,maxon,left_wrist,83.702
11.6608,maxon,right_wrist,-83.702
11.6702,maxon,left_wrist,83.627
11.6705,maxon,right_wrist,-83.627
11.6804,maxon,left_wrist,83.551
11.6806,maxon,right_wrist,-83.551
11.6903,maxon,left_wrist,83.476
11.6907,maxon,right_wrist,-83.476
11.7003,maxon,left_wrist,83.401
11.7005,maxon,right_wrist,-83.401
11.7105,maxon,left_wrist,83.328
11.7108,maxon,right_wrist,-83.328
11.7205,maxon,left_wrist,83.253
11.7208,maxon,right_wrist,-83.253
11.7307,maxon,left_wrist,83.177
11.7310,maxon,right_wrist,-83.177
11.7407,maxon,left_wrist,83.102
11.7410,maxon,right_wrist,-83.102
11.7503,maxon,left_wrist,83.027
11.7509,maxon,right_wrist,-83.027
11.7609,maxon,left_wrist,82.951
11.7612,maxon,right_wrist,-82.951
11.7706,maxon,left_wrist,82.876
11.7710,maxon,right_wrist,-82.876
11.7803,maxon,left_wrist,82.801
11.7808,maxon,right_wrist,-82.801
11.7903,maxon,left_wrist,82.725
11.7907,maxon,right_wrist,-82.725
11.8004,maxon,left_wrist,82.652
11.8008,maxon,right_wrist,-82.652
11.8103,maxon,left_wrist,82.577
11.8107,maxon,right_wrist,-82.577
11.8201,maxon,left_wrist,82.502
11.8204,maxon,right_wrist,-82.502
11.8302,maxon,left_wrist,82.426
11.8305,maxon,right_wrist,-82.426
11.8406,maxon,left_wrist,82.351
11.8409,maxon,right_wrist,-82.351
11.8506,maxon,left_wrist,82.276
11.8508,maxon,right_wrist,-82.276
11.8605,maxon,left_wrist,82.200
11.8608,maxon,right_wrist,-82.200
11.8703,maxon,left_wrist,82.125
11.8705,maxon,right_wrist,-82.125
11.8805,maxon,left_wrist,82.052
11.8807,maxon,right_wrist,-82.052
11.8907,maxon,left_wrist,81.977
11.8909,maxon,right_wrist,-81.977
11.9000,maxon,left_wrist,81.902
11.9005,maxon,right_wrist,-81.902
11.9102,maxon,left_wrist,81.826
11.9104,maxon,right_wrist,-81.826
11.9205,maxon,left_wrist,81.751
11.9208,maxon,right_wrist,-81.751
11.9305,maxon,left_wrist,81.676
11.9308,maxon,right_wrist,-81.676
11.9409,maxon,left_wrist,81.600
11.9413,maxon,right_wrist,-81.600
11.9500,maxon,left_wrist,81.525
11.9503,maxon,right_wrist,-81.525
11.9603,maxon,left_wrist,81.449
11.9607,maxon,right_wrist,-81.449
11.9705,maxon,left_wrist,81.377
11.9706,maxon,right_wrist,-81.377
11.9805,maxon,left_wrist,81.301
11.9807,maxon,right_wrist,-81.301
11.9901,maxon,left_wrist,81.226
11.9905,maxon,right_wrist,-81.226
12.0004,maxon,left_wrist,81.151
12.0005,maxon,right_wrist,-81.151
12.0101,maxon,left_wrist,81.075
12.0105,maxon,right_wrist,-81.075
12.0205,maxon,left_wrist,81.000
12.0207,maxon,right_wrist,-81.000
12.0305,maxon,left_wrist,80.925
12.0307,maxon,right_wrist,-80.925
12.0404,maxon,left_wrist,80.849
12.0407,maxon,right_wrist,-80.849
12.0504,maxon,left_wrist,80.774
12.0505,maxon,right_wrist,-80.774
12.0603,maxon,left_wrist,80.701
12.0608,maxon,right_wrist,-80.701
12.0705,maxon,left_wrist,80.626
12.0707,maxon,right_wrist,-80.626
12.0803,maxon,left_wrist,80.551
12.0805,maxon,right_wrist,-80.551
